state,ahj_geoid,num_applications,num_finaled,pct_cancelled,year
California,666000,14128,11048,0.218006795,2022_2023
California,6073,10227,8575,0.161533196,2022_2023
California,6065,8206,6699,0.183646113,2022_2023
Hawaii,15003,6938,6335,0.086912655,2022_2023
California,644000,4384,3722,0.15100365,2022_2023
Florida,12095,3981,2885,0.275307712,2022_2023
Nevada,3231900,3250,2805,0.136923077,2022_2023
Arizona,4013,3570,2806,0.214005602,2022_2023
Texas,4865000,4208,2826,0.328422053,2022_2023
California,6029,3938,2708,0.31234129,2022_2023
Nevada,3251800,3270,2740,0.162079511,2022_2023
New Mexico,3502000,3664,3641,0.006277293,2022_2023
California,613392,4046,4036,0.002471577,2022_2023
Texas,4827000,3047,2333,0.234328848,2022_2023
Texas,4824000,2752,2462,0.105377907,2022_2023
California,6013,3293,2257,0.314606742,2022_2023
Florida,12105,2069,1657,0.199130014,2022_2023
Colorado,804000,2566,2113,0.176539361,2022_2023
California,653322,2816,2201,0.218394886,2022_2023
California,6079,2240,1422,0.365178571,2022_2023
Florida,12101,2100,2042,0.027619048,2022_2023
Oklahoma,4055000,2111,1609,0.23780199,2022_2023
California,653000,2611,1388,0.468402911,2022_2023
Nevada,32003,1470,1222,0.168707483,2022_2023
Florida,12097,1903,1452,0.23699422,2022_2023
Florida,12071,1818,1460,0.196919692,2022_2023
Florida,1210275,1999,1039,0.48024012,2022_2023
California,675000,2229,2106,0.055181696,2022_2023
Pennsylvania,4260000,1375,1223,0.110545455,2022_2023
California,682590,2135,1440,0.325526932,2022_2023
California,6107,1830,1489,0.186338798,2022_2023
Florida,12086,1638,1305,0.203296703,2022_2023
California,636770,3016,1713,0.432029178,2022_2023
California,678120,2268,1903,0.160934744,2022_2023
California,682954,2506,2319,0.07462091,2022_2023
Florida,12015,1496,1448,0.032085561,2022_2023
California,6061,1830,1192,0.34863388,2022_2023
California,614218,2957,1782,0.397362191,2022_2023
California,649270,1977,1505,0.238745574,2022_2023
California,6097,1794,1509,0.158862876,2022_2023
California,616350,1757,1549,0.118383608,2022_2023
Maryland,24031,1306,1139,0.127871363,2022_2023
Florida,1258715,1379,1159,0.159535896,2022_2023
California,626000,2206,1161,0.473708069,2022_2023
Florida,12083,1546,1154,0.253557568,2022_2023
Florida,12099,1636,1239,0.242665037,2022_2023
California,613014,1825,1611,0.117260274,2022_2023
California,602252,1670,1347,0.193413174,2022_2023
California,623182,1503,1176,0.21756487,2022_2023
Arizona,407940,1477,1333,0.097494922,2022_2023
Washington,5363000,1308,1216,0.070336391,2022_2023
Virginia,5182000,1391,1270,0.086987779,2022_2023
Colorado,8077,1369,1325,0.032140248,2022_2023
Nevada,3260600,1145,675,0.410480349,2022_2023
Florida,1254000,1227,1087,0.11409943,2022_2023
California,6039,2152,1627,0.243959108,2022_2023
Massachusetts,2567000,963,630,0.345794393,2022_2023
California,622020,845,792,0.062721893,2022_2023
Virginia,51059,1110,887,0.200900901,2022_2023
California,678582,1487,1041,0.299932751,2022_2023
California,645484,1120,1120,0,2022_2023
California,6017,1885,1808,0.040848806,2022_2023
California,656700,1143,585,0.488188976,2022_2023
Maryland,24003,1060,931,0.121698113,2022_2023
California,653896,1269,693,0.453900709,2022_2023
Texas,4804000,1127,761,0.324755989,2022_2023
California,6007,1282,1117,0.128705148,2022_2023
Virginia,51153,1026,908,0.115009747,2022_2023
California,633000,1102,774,0.297640653,2022_2023
Kentucky,2148006,1118,913,0.183363148,2022_2023
California,662000,1000,840,0.16,2022_2023
California,682996,1219,921,0.244462674,2022_2023
California,669088,1416,1250,0.117231638,2022_2023
California,668196,1310,1159,0.115267176,2022_2023
Oregon,4159000,785,771,0.017834395,2022_2023
Florida,12021,948,504,0.46835443,2022_2023
California,631960,835,693,0.17005988,2022_2023
Colorado,807850,1122,766,0.317290553,2022_2023
California,662364,1360,1157,0.149264706,2022_2023
California,6057,1101,975,0.114441417,2022_2023
Virginia,5116000,1068,1019,0.04588015,2022_2023
California,641992,1232,1019,0.17288961,2022_2023
California,680238,1211,1069,0.117258464,2022_2023
Texas,4845000,781,705,0.09731114,2022_2023
Florida,12081,955,765,0.19895288,2022_2023
Texas,4819000,1606,927,0.422789539,2022_2023
California,628000,1136,811,0.286091549,2022_2023
Florida,12103,827,806,0.025392987,2022_2023
