geoid,name,state,source_id,median_permitting_timeline,pctile_1,pctile_10,pctile_25,pctile_50,pctile_75,pctile_90,pctile_95,data_source,num_records,population,year
3651000,New York city,New York,26,3,0,1,2,3,4,8,12,"Ohm Analytics, Reporting Year-2025",4716,8622467,2025
666000,San Diego city,California,34,0,0,0,0,0,0,1,3,"Ohm Analytics, Reporting Year-2025",3177,1383987,2025
15003,Honolulu County,Hawaii,54,0,0,0,0,0,0,0,15,"Ohm Analytics, Reporting Year-2025",2784,665544,2025
6065,Riverside County,California,331,19,0,0,0,19,40,65,83,"Ohm Analytics, Reporting Year-2025",2079,391049,2025
6073,San Diego County,California,42,0,0,0,0,0,1,1,2,"Ohm Analytics, Reporting Year-2025",1853,517832,2025
644000,Los Angeles city,California,30,7,0,0,0,7,22,33,40,"Ohm Analytics, Reporting Year-2025",1461,3881041,2025
4865000,San Antonio city,Texas,19,2,0,1,1,2,4,10,17,"Ohm Analytics, Reporting Year-2024",1425,1445662,2024
627000,Fresno city,California,68,0,0,0,0,0,2,7,12,"Ohm Analytics, Reporting Year-2025",1391,541528,2025
3502000,Albuquerque city,New Mexico,2,9,0,2,5,9,15,25,32,"Ohm Analytics, Reporting Year-2024",1377,562551,2024
3231900,Henderson city,Nevada,40,4,0,1,2,4,7,10,16,"Ohm Analytics, Reporting Year-2025",1323,318063,2025
477000,Tucson city,Arizona,237,0,0,0,0,0,1,20,32,"Ohm Analytics, Reporting Year-2025",1278,541033,2025
1714000,Chicago city,Illinois,64,2,0,0,0,2,4,7,12,"Ohm Analytics, Reporting Year-2025",1197,2721914,2025
603526,Bakersfield city,California,66,7,0,2,4,7,14,23,51,"Ohm Analytics, Reporting Year-2024",1170,404321,2024
4013,Maricopa County,Arizona,194,3,0,1,2,3,7,29,47,"Ohm Analytics, Reporting Year-2025",1134,317084,2025
614218,Clovis city,California,310,5,0,1,3,5,10,21,34,"Ohm Analytics, Reporting Year-2025",1060,120607,2025
24031,Montgomery County,Maryland,41,5,0,0,0,5,13,26,36,"Ohm Analytics, Reporting Year-2025",987,886913,2025
648256,Mission Viejo city,California,1248,0,0,0,0,0,0,0,7,"Ohm Analytics, Reporting Year-2023",981,93233,2023
820000,Denver city,Colorado,23,0,0,0,0,0,0,3,17,"Ohm Analytics, Reporting Year-2025",954,710800,2025
665000,San Bernardino city,California,1145,3,0,0,1,3,5,16,19,"Ohm Analytics, Reporting Year-2024",937,221041,2024
12095,Orange County,Florida,53,2,0,0,1,2,3,6,11,"Ohm Analytics, Reporting Year-2025",899,904460,2025
4827000,Fort Worth city,Texas,122,0,0,0,0,0,0,2,8,"Ohm Analytics, Reporting Year-2025",887,924663,2025
6029,Kern County,California,339,2,0,0,0,2,5,15,23,"Ohm Analytics, Reporting Year-2025",848,307191,2025
636770,Irvine city,California,328,0,0,0,0,0,0,8,17,"Ohm Analytics, Reporting Year-2025",845,304527,2025
