source_id,name,geoid,state,median_permitting_timeline,num_records,data_source,technology,year
2335,Calexico city,609710,California,33.5,60,OHM 2024,solar,2024
856,Camarillo city,610046,California,0,95,OHM 2024,solar,2024
1760,Campbell city,610345,California,7,27,OHM 2024,solar,2024
394,Carlsbad city,611194,California,3,211,OHM 2024,solar,2024
1384,Carson city,611530,California,2,187,OHM 2024,solar,2024
1677,Cathedral City city,612048,California,,,,solar,
1678,Cerritos city,612552,California,22,48,OHM 2024,solar,2024
679,Chico city,613014,California,4,203,OHM 2024,solar,2024
1243,Chino Hills city,613214,California,5,216,OHM 2024,solar,2024
332,Chula Vista city,613392,California,2,338,OHM 2024,solar,2024
399,Citrus Heights city,613588,California,12,29,OHM 2024,solar,2024
1679,Claremont city,613756,California,17,77,OHM 2024,solar,2024
310,Clovis city,614218,California,7,674,OHM 2024,solar,2024
2337,Coachella city,614260,California,,,,solar,
2338,Coalinga city,614274,California,3,11,OHM 2024,solar,2024
946,Colton city,614890,California,25,115,OHM 2024,solar,2024
318,Concord city,616000,California,2,40,OHM 2024,solar,2024
1680,Corcoran city,616224,California,3,8,OHM 2024,solar,2024
1385,Corona city,616350,California,15,674,OHM 2024,solar,2024
1386,Coronado city,616378,California,12,95,OHM 2024,solar,2024
1387,Costa Mesa city,616532,California,21.5,48,OHM 2024,solar,2024
1681,Culver City city,617568,California,43,51,OHM 2024,solar,2024
850,Cupertino city,617610,California,4,51,OHM 2024,solar,2024
1388,Cypress city,617750,California,0,96,OHM 2024,solar,2024
1389,Daly City city,617918,California,6.5,22,OHM 2024,solar,2024
1390,Dana Point city,617946,California,11,100,OHM 2024,solar,2024
321,Danville town,617988,California,5,84,OHM 2024,solar,2024
362,Davis city,618100,California,12,171,OHM 2024,solar,2024
711,Delano city,618394,California,17,194,OHM 2024,solar,2024
2071,Desert Hot Springs city,618996,California,4,59,OHM 2024,solar,2024
1682,Diamond Bar city,619192,California,0,13,OHM 2024,solar,2024
1683,Dinuba city,619318,California,12,24,OHM 2024,solar,2024
1684,Dixon city,619402,California,17,17,OHM 2024,solar,2024
724,Downey city,619766,California,,,,solar,
1391,Duarte city,619990,California,,,,solar,
564,Dublin city,620018,California,7,169,OHM 2024,solar,2024
938,Eastvale city,621230,California,0,18,OHM 2024,solar,2024
1685,El Cajon city,621712,California,0,126,OHM 2024,solar,2024
2339,El Centro city,621782,California,4,59,OHM 2024,solar,2024
1392,El Cerrito city,621796,California,16,136,OHM 2024,solar,2024
1069,Elk Grove city,622020,California,11,1017,OHM 2024,solar,2024
1701,El Paso de Robles (Paso Robles) city,622300,California,0,69,OHM 2024,solar,2024
1244,Encinitas city,622678,California,2,305,OHM 2024,solar,2024
533,Fairfield city,623182,California,0,264,OHM 2024,solar,2024
400,Folsom city,624638,California,112,1,OHM 2024,solar,2024
1686,Foster City city,625338,California,30,58,OHM 2024,solar,2024
338,Fremont city,626000,California,10,90,OHM 2024,solar,2024
68,Fresno city,627000,California,0,355,OHM 2024,solar,2024
697,Fullerton city,628000,California,3.5,106,OHM 2024,solar,2024
869,Gardena city,628168,California,15,101,OHM 2024,solar,2024
700,Garden Grove city,629000,California,12,1,OHM 2024,solar,2024
344,Gilroy city,629504,California,12,95,OHM 2024,solar,2024
871,Glendale city,630000,California,14,137,OHM 2024,solar,2024
1246,Glendora city,630014,California,9,69,OHM 2024,solar,2024
1394,Goleta city,630378,California,4,5,OHM 2024,solar,2024
693,Hanford city,631960,California,14,814,OHM 2024,solar,2024
365,Hayward city,633000,California,6,294,OHM 2024,solar,2024
737,Hemet city,633182,California,22,186,OHM 2024,solar,2024
364,Hesperia city,633434,California,,,,solar,
734,Highland city,633588,California,2,86,OHM 2024,solar,2024
1688,Hollister city,634120,California,56,3,OHM 2024,solar,2024
942,Huntington Beach city,636000,California,5,157,OHM 2024,solar,2024
1689,Huntington Park city,636056,California,0,3,OHM 2024,solar,2024
2075,Imperial Beach city,636294,California,21,45,OHM 2024,solar,2024
