state_abbr,name,geoid,median_permit_cost
CT,Guilford town,900934950,324.7
OK,Oklahoma City city,4055000,NA
VA,Harrisonburg city,5135624,NA
AZ,Pima County,4019,159
CA,El Segundo city,622412,584.1
CA,Fremont city,626000,321.8
CA,San Carlos city,665070,211.2
CA,San Luis Obispo city,668154,439
CA,Santa Rosa city,670098,181.4
CA,Sonoma County,6097,498
CO,Denver city & County,820000,50
AZ,Phoenix city,455000,300
AZ,Tucson city,477000,161.1
CA,Alameda city,600562,NA
CA,Arcadia city,602462,150.5
CA,Beaumont city,604758,500
CA,Benicia city,605290,437.2
CA,Chula Vista city,613392,456.6
CA,Dublin city,620018,301.4
CA,Eastvale city,621230,257.6
CA,El Cajon city,621712,283
CA,Fortuna city,625296,NA
CA,Gilroy city,629504,302.6
CA,Indio city,636448,500
CA,Los Alamitos city,643224,90.1
CA,Menifee city,646842,455.1
CA,Milpitas city,647766,154.1
CA,Modesto city,648354,279.9
CA,Newark city,650916,360.2
CA,Oceanside city,653322,444
CA,Palmdale city,655156,273.4
CA,Palo Alto city,655282,NA
CA,Pleasant Hill city,657764,274.9
CA,Rancho Cordova city,659444,251
CA,Rolling Hills Estates city,662644,NA
CA,Sacramento County,6067,483.8
CA,San Joaquin County,6077,430
CA,San Luis Obispo County,6079,439
CA,San Marcos city,668196,185.2
CA,San Pablo city,668294,NA
CA,San Ramon city,668378,539.2
CA,Santa Clara County,6085,437.1
CA,Simi Valley city,672016,297.8
CA,Solano County,6095,279.1
CA,Stockton city,675000,301
CA,Ventura County,6111,191.7
VA,Culpeper County,51047,NA
AZ,Oro Valley town,451600,NA
CA,San Francisco city,667000,159.1
CA,Walnut Creek city,683346,440.5
CA,Fountain Valley city,625380,339.9
CA,Fresno city,627000,450
CA,King City city,638520,NA
CA,Kingsburg city,638562,186.3
CA,Livermore city,641992,409.7
CA,Petaluma city,656784,135.2
CA,Richmond city,660620,450
CA,San Bernardino County,6071,441
CA,Sierra Madre city,671806,NA
IA,Tiffin city,1978060,0
CA,Contra Costa County,6013,402
CA,Redondo Beach city,660018,459.6
CA,Santa Barbara County,6083,567
CA,Berkeley city,606000,127
CA,Carson city,611530,547.5
CA,Concord city,616000,451
CA,Cupertino city,617610,291.1
CA,Gardena city,628168,450
CA,Huntington Beach city,636000,428.6
CA,Oakland city,653000,385
CA,Redwood City city,660102,398
CA,Sacramento city,664000,377.1
CA,Santa Monica city,670000,257
MD,Montgomery County,24031,530
AZ,Cottonwood city,416410,NA
CA,Aliso Viejo city,600947,392.6
CA,Antioch city,602252,331.2
CA,Apple Valley town,602364,547.4
CA,Bell Gardens city,604996,612.2
CA,Brentwood city,608142,298.5
CA,Canyon Lake city,610928,302.6
CA,Carlsbad city,611194,155.4
CA,Cathedral City city,612048,509.1
CA,Chino Hills city,613214,501
CA,Clayton city,613882,NA
CA,Cudahy city,617498,NA
CA,Cypress city,617750,309.9
