state,median_permitting_timeline_all_years,pctile_0,pctile_10,pctile_25,pctlile_50,pctile_75,pctile_90,pctile_95,population,distribution_year
Alabama,8,1,1,4,8,22,27,27,5054622,2024
Alaska,,,,,,,,,899989,2024
Arizona,9,0,0,1,4,11,24,39,7164793,2024
Arkansas,3,0,0,0,2,8,18,28,3038802,2024
California,5.75,0,0,0,4,14,35,58,40228764,2024
Colorado,9,0,0,1,3,10,26,42,6560770,2024
Connecticut,4,0,0,1,4,10,22,35,3686051,2024
Delaware,2,0,0,2,3,14,23,28,994398,2024
Florida,10,0,0,3,7,16,30,43,22584658,2024
Georgia,3,0,0,0,1,8,22,34,11351286,2024
Hawaii,1,0,0,0,0,24,61,83,1106033,2024
Idaho,4.75,0,0,0,1,6,11,17,1861292,2024
Illinois,7,0,0,1,5,14,28,46,15418649,2024
Indiana,1.5,0,0,1,3,8,14,23,7769317,2024
Iowa,11.25,0,0,2,7,14,31,46,3206392,2024
Kansas,6,0,1,4,10,21,40,62,2948250,2024
Kentucky,1.25,0,0,0,0,2,7,12,5591176,2024
Louisiana,5,0,1,2,5,12,26,47,6811195,2024
Maine,8,0,2,4,7,11,18,23,1353339,2024
Maryland,11,0,0,0,3,11,24,39,6131940,2024
Massachusetts,6,0,0,1,3,11,24,35,6984205,2024
Michigan,5.5,0,1,4,8,15,28,38,11795644,2024
Minnesota,5,0,0,1,5,14,26,37,5687870,2024
Mississippi,9,,,,,,,,2981632,2024
Missouri,9.5,0,1,3,7,14,30,46,6188585,2024
Montana,0,0,0,0,1,11,33,49,1134622,2024
Nebraska,3,0,0,1,2,18,64,96,1969981,2024
Nevada,6,0,0,1,4,8,16,26,3102445,2024
New Hampshire,5,0,0,1,3,8,15,23,1379323,2024
New Jersey,12,0,4,8,13,22,37,50,9235382,2024
New Mexico,7,0,0,1,7,14,26,37,2255869,2024
New York,8.5,0,1,1,3,6,15,29,46303313,2024
North Carolina,6,0,0,1,3,8,15,23,10478312,2024
North Dakota,22.75,0,0,0,0,8,44,66,780658,2024
Ohio,4,0,0,0,0,5,16,27,12954123,2024
Oklahoma,4.75,0,0,0,0,4,17,22,3979215,2024
Oregon,4,0,0,2,4,8,14,24,4235382,2024
Pennsylvania,8,0,0,1,3,11,22,36,17326349,2024
Puerto Rico,,,,,,,,,5187244,2024
Rhode Island,4,0,0,2,6,16,36,51,1094250,2024
South Carolina,8,0,1,3,9,18,34,48,5138020,2024
South Dakota,1,0,0,0,1,3,,5,899113,2024
Tennessee,4.5,0,0,1,1,9,19,37,7660211,2024
Texas,4,0,0,0,3,10,23,35,29274710,2024
Utah,11.25,0,1,4,10,20,32,43,3280768,2024
Vermont,0,0,0,1,5,12,20,41,681501,2024
Virginia,9,0,0,1,5,11,24,35,8504796,2024
Washington,3.5,0,0,0,2,9,23,36,7697082,2024
District of Columbia,0,,,,,,,,1341174,2024
West Virginia,,,,,,,,,1807770,2024
Wisconsin,6.5,0,0,0,3,11,17,24,6965644,2024
Wyoming,6.5,0,4,6,9,12,16,19,578771,2024
